block_number,total_supply,total_deposit,timestamp,time
12955316,724224171790261436053014,724224171790261436053014,1628034206,2021-08-03 23:43:26
12961716,728586117741215712485755,728586117741215712485755,1628121547,2021-08-04 23:59:07
12968016,735770819899953507517365,735770819899953507517365,1628207452,2021-08-05 23:50:52
12974516,738422030262371759097245,738422030262371759097245,1628294386,2021-08-06 23:59:46
12981016,745844932269957420457615,745844932269957420457615,1628379881,2021-08-07 23:44:41
12987516,747184961686715413991729,747184961686715413991729,1628466489,2021-08-08 23:48:09
12994016,749626079221962269418041,749626079221962269418041,1628552949,2021-08-09 23:49:09
13000516,754005261935313994016897,754005261935313994016897,1628639232,2021-08-10 23:47:12
13006916,755863560164882150868096,755863560164882150868096,1628725621,2021-08-11 23:47:01
13013416,759372385288029560375908,759372385288029560375908,1628811808,2021-08-12 23:43:28
13019916,766384454945189581843124,766384454945189581843124,1628898620,2021-08-13 23:50:20
13026416,781307099738385330941910,781307099738385330941910,1628985074,2021-08-14 23:51:14
13032816,806782606958946899577837,806782606958946899577837,1629071299,2021-08-15 23:48:19
13039316,822682704083310034705787,822682704083310034705787,1629157562,2021-08-16 23:46:02
13045816,837814579670278051777146,837814579670278051777146,1629243666,2021-08-17 23:41:06
13052216,850567311597761660031545,850567311597761660031545,1629330016,2021-08-18 23:40:16
13058816,884514328889937670316370,884514328889937670316370,1629417112,2021-08-19 23:51:52
13065316,896375333212113997008770,896375333212113997008770,1629503952,2021-08-20 23:59:12
13071716,926242538113259333379355,926242538113259333379355,1629589715,2021-08-21 23:48:35
13078216,946162845605498355366428,946162845605498355366428,1629676134,2021-08-22 23:48:54
13084616,978288152845595264334255,978288152845595264334255,1629762290,2021-08-23 23:44:50
13091116,985656893811719254388014,985656893811719254388014,1629848699,2021-08-24 23:44:59
13097616,1002475243771649427192888,1002475243771649427192888,1629935875,2021-08-25 23:57:55
13104116,1010845921249537842757472,1010845921249537842757472,1630022192,2021-08-26 23:56:32
13110516,1045320770721115007857273,1045320770721115007857273,1630108032,2021-08-27 23:47:12
13117016,1118799574044402644038534,1118799574044402644038534,1630195151,2021-08-28 23:59:11
13123416,1131765375432003935442762,1131765375432003935442762,1630280252,2021-08-29 23:37:32
13129916,1137443995040982814338981,1137443995040982814338981,1630367096,2021-08-30 23:44:56
13136416,1152408540247767552762398,1152408540247767552762398,1630454303,2021-08-31 23:58:23
13142816,1157565090225583739510889,1157565090225583739510889,1630539883,2021-09-01 23:44:43
13149416,1166885371081525734773677,1166885371081525734773677,1630627079,2021-09-02 23:57:59
13155816,1176580001617745456962610,1176580001617745456962610,1630712667,2021-09-03 23:44:27
13162316,1178470112076075009973373,1178470112076075009973373,1630799985,2021-09-04 23:59:45
13168816,1181376173037150425123115,1181376173037150425123115,1630885876,2021-09-05 23:51:16
13175216,1187604648460032472142821,1187604648460032472142821,1630971545,2021-09-06 23:39:05
13181716,1239756616734928755943172,1239756616734928755943172,1631059048,2021-09-07 23:57:28
13188216,1245483027752124462491894,1245483027752124462491894,1631145596,2021-09-08 23:59:56
13194616,1249861533604108055141320,1249861533604108055141320,1631231236,2021-09-09 23:47:16
