,reth_fair_value,reth_market_price,reth_premium,time
2048,1.059344710480497,1.0730912038695979,1.0129764119772362,2023-02-20T02:56:59Z
2049,1.059344710480497,1.0730912038695979,1.0129764119772362,2023-02-20T02:53:59Z
2050,1.059344710480497,1.0730912038695979,1.0129764119772362,2023-02-20T02:52:35Z
2051,1.059344710480497,1.0730912038695979,1.0129764119772362,2023-02-20T02:51:35Z
2052,1.059344710480497,1.0730912038695979,1.0129764119772362,2023-02-20T02:50:23Z
2053,1.059344710480497,1.0731366761168888,1.013019336859799,2023-02-20T02:25:47Z
2054,1.059344710480497,1.0731366761168888,1.013019336859799,2023-02-20T02:24:59Z
2055,1.059344710480497,1.073180971822937,1.0130611511112038,2023-02-20T02:24:11Z
2056,1.059344710480497,1.073180971822937,1.0130611511112038,2023-02-20T02:23:11Z
2057,1.059344710480497,1.073180971822937,1.0130611511112038,2023-02-20T02:21:23Z
2058,1.059344710480497,1.0730016522778216,1.012891877084212,2023-02-20T00:51:35Z
2059,1.059344710480497,1.0730905942251283,1.0129758364851764,2023-02-20T00:41:11Z
2060,1.059344710480497,1.0730905942251283,1.0129758364851764,2023-02-20T00:00:47Z
2061,1.059344710480497,1.0730905942251283,1.0129758364851764,2023-02-19T23:58:59Z
2062,1.059344710480497,1.0730905942251283,1.0129758364851764,2023-02-19T23:56:11Z
2063,1.059344710480497,1.0731373588429165,1.013019981339373,2023-02-19T23:54:11Z
2064,1.059344710480497,1.0731373588429165,1.013019981339373,2023-02-19T23:53:11Z
2065,1.059344710480497,1.0731501056312382,1.0130320140499682,2023-02-19T23:25:35Z
2066,1.059344710480497,1.0731501056312382,1.0130320140499682,2023-02-19T23:24:47Z
2067,1.059344710480497,1.0731501056312382,1.0130320140499682,2023-02-19T23:17:47Z
2068,1.059344710480497,1.073200946901765,1.013080007181971,2023-02-19T23:16:35Z
2069,1.059344710480497,1.0732584002449006,1.0131342419769036,2023-02-19T23:14:59Z
2070,1.059344710480497,1.073271021160617,1.0131461558663026,2023-02-19T23:05:23Z
2071,1.059344710480497,1.073314865270556,1.013187543820106,2023-02-19T22:20:47Z
2072,1.059344710480497,1.0733221062619147,1.0131943791696263,2023-02-19T22:14:23Z
2073,1.059344710480497,1.0733221062619147,1.0131943791696263,2023-02-19T22:12:35Z
2074,1.059344710480497,1.0733221062619147,1.0131943791696263,2023-02-19T22:09:11Z
2075,1.059344710480497,1.0733221062619147,1.0131943791696263,2023-02-19T21:06:47Z
2076,1.059344710480497,1.0733021368493094,1.0131755284476587,2023-02-19T20:51:59Z
